what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.editor.css,3.0.3.1337703194,"com.aptana.editor.css",1350538677558
started,bundle,com.aptana.editor.xml,3.0.0.1337406272,"com.aptana.editor.xml",1350538677567
started,bundle,com.aptana.editor.svg,3.0.3.1337406272,"com.aptana.editor.svg",1350538677569
started,bundle,com.aptana.editor.dtd,3.0.0.1337406272,"com.aptana.editor.dtd",1350538677596
opened,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350538678037
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350538678089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538725727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538733504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538751846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538764378
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350538788516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538823870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538826617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1350538826657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350538831557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350539275256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1350539286492
opened,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350539296145
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350539296182
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350539302843
opened,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350539311991
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350539312019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350539317194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350539321743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350539324291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350540841295
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350540844306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541009392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541436632
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1350541436655
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1350541447302
opened,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350541448328
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1350541448357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541453022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541457177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541470180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541498150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541524973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350541553524
